andrus|    Sosista omas keeles 1 sõna 
andrus|    Sosista omas keeles 2 sõna 
andrus|    Sosista omas keeles 3 sõna 
andrus|    Sosista omas keeles 4 sõna 
andrus|    Sosista omas keeles 5 sõna 
andrus|    Sosista omas keeles 6 sõna 
andrus|    Sosista omas keeles 7 sõna 
andrus|    Mängi benini kellal 1 heli 
andrus|    Mängi benini kellal 2 heli 
andrus|    Mängi benini kellal 3 heli 
andrus|    Mängi benini kellal 4 heli 
andrus|    Mängi benini kellal 5 heli 
andrus|    Mängi benini kellal 6 heli 
andrus|    Mängi benini kellal 7 heli 
andrus|    Mängi benini helistajat 1 sekund 
andrus|    Mängi benini helistajat 2 sekundit 
andrus|    Mängi benini helistajat 3 sekundit 
andrus|    Mängi 1. kõneleva trummiga 1 heli 
andrus|    Mängi 1. kõneleva trummiga 2 heli 
andrus|    Mängi 1. kõneleva trummiga 3 heli 
andrus|    Mängi 1. kõneleva trummiga 4 heli 
andrus|    Mängi 1. kõneleva trummiga 5 heli 
andrus|    Mängi klaveril 1-heliline meloodia 
andrus|    Mängi klaveril 2-heliline meloodia 
andrus|    Mängi klaveril 3-heliline meloodia 
andrus|    Mängi klaveril 4-heliline meloodia 
andrus|    Mängi klaveril 5-heliline meloodia 
andrus|    Mängi klaveril 1 akord 
andrus|    Mängi klaveril 2 akordi 
andrus|    Mängi klaveril 3 akordi 
gerhard|    Sosista omas keeles 1 sõna 
gerhard|    Sosista omas keeles 2 sõna 
gerhard|    Sosista omas keeles 3 sõna 
gerhard|    Sosista omas keeles 4 sõna 
gerhard|    Sosista omas keeles 5 sõna 
gerhard|    Sosista omas keeles 6 sõna 
gerhard|    Sosista omas keeles 7 sõna 
gerhard|    Mängi benini kellal 1 heli 
gerhard|    Mängi benini kellal 2 heli 
gerhard|    Mängi benini kellal 3 heli 
gerhard|    Mängi benini kellal 4 heli 
gerhard|    Mängi benini kellal 5 heli 
gerhard|    Mängi benini kellal 6 heli 
gerhard|    Mängi benini kellal 7 heli 
gerhard|    Mängi klaasidel 1 heli 
gerhard|    Mängi klaasidel 2 heli 
gerhard|    Mängi rattapasunal 1 heli 
gerhard|    Mängi rattapasunal 2 heli 
gerhard|    Mängi viiulil 1 heli 
gerhard|    Mängi viiulil 2 heli 
gerhard|    Mängi viiulil 3 heli 
gerhard|    Mängi viiulil 4 heli 
gerhard|    Mängi viiulil 5 heli 
gerhard|    Mängi viiulil 6 heli 
gerhard|    Mängi viiulil 7 heli 
hans|    Sosista omas keeles 1 sõna 
hans|    Sosista omas keeles 2 sõna 
hans|    Sosista omas keeles 3 sõna 
hans|    Sosista omas keeles 4 sõna 
hans|    Sosista omas keeles 5 sõna 
hans|    Sosista omas keeles 6 sõna 
hans|    Sosista omas keeles 7 sõna 
hans|    Mängi benini kellal 1 heli 
hans|    Mängi benini kellal 2 heli 
hans|    Mängi benini kellal 3 heli 
hans|    Mängi benini kellal 4 heli 
hans|    Mängi benini kellal 5 heli 
hans|    Mängi benini kellal 6 heli 
hans|    Mängi benini kellal 7 heli 
hans|    Mängi taril 1 heli 
hans|    Mängi taril 2 heli 
hans|    Mängi taril 3 heli 
hans|    Mängi taril 4 heli 
hans|    Mängi taril 5 heli 
hans|    Mängi taril 6 heli 
hans|    Mängi taril 7 heli 
indrek|    Sosista omas keeles 1 sõna 
indrek|    Sosista omas keeles 2 sõna 
indrek|    Sosista omas keeles 3 sõna 
indrek|    Sosista omas keeles 4 sõna 
indrek|    Sosista omas keeles 5 sõna 
indrek|    Sosista omas keeles 6 sõna 
indrek|    Sosista omas keeles 7 sõna 
indrek|    Mängi benini kellal 1 heli 
indrek|    Mängi benini kellal 2 heli 
indrek|    Mängi benini kellal 3 heli 
indrek|    Mängi benini kellal 4 heli 
indrek|    Mängi benini kellal 5 heli 
indrek|    Mängi benini kellal 6 heli 
indrek|    Mängi benini kellal 7 heli 
indrek|    Mängi viiulil 1 heli 
indrek|    Mängi viiulil 2 heli 
indrek|    Mängi viiulil 3 heli 
indrek|    Mängi viiulil 4 heli 
indrek|    Mängi viiulil 5 heli 
indrek|    Mängi viiulil 6 heli 
indrek|    Mängi viiulil 7 heli 
indrek|    Krabista muna 1 sekund 
indrek|    Krabista muna 2 sekundit 
indrek|    Krabista muna 3 sekundit 
leonora|    Sosista omas keeles 1 sõna 
leonora|    Sosista omas keeles 2 sõna 
leonora|    Sosista omas keeles 3 sõna 
leonora|    Sosista omas keeles 4 sõna 
leonora|    Sosista omas keeles 5 sõna 
leonora|    Sosista omas keeles 6 sõna 
leonora|    Sosista omas keeles 7 sõna 
leonora|    Mängi benini kellal 1 heli 
leonora|    Mängi benini kellal 2 heli 
leonora|    Mängi benini kellal 3 heli 
leonora|    Mängi benini kellal 4 heli 
leonora|    Mängi benini kellal 5 heli 
leonora|    Mängi benini kellal 6 heli 
leonora|    Mängi benini kellal 7 heli 
leonora|    Mängi flöödil 1 heli 
leonora|    Mängi flöödil 2 heli 
leonora|    Mängi flöödil 3 heli 
leonora|    Mängi flöödil 4 heli 
leonora|    Mängi flöödil 5 heli 
leonora|    Mängi flöödil 6 heli 
leonora|    Mängi flöödil 7 heli 
roomet|    Sosista omas keeles 1 sõna 
roomet|    Sosista omas keeles 2 sõna 
roomet|    Sosista omas keeles 3 sõna 
roomet|    Sosista omas keeles 4 sõna 
roomet|    Sosista omas keeles 5 sõna 
roomet|    Sosista omas keeles 6 sõna 
roomet|    Sosista omas keeles 7 sõna 
roomet|    Mängi benini kellal 1 heli 
roomet|    Mängi benini kellal 2 heli 
roomet|    Mängi benini kellal 3 heli 
roomet|    Mängi benini kellal 4 heli 
roomet|    Mängi benini kellal 5 heli 
roomet|    Mängi benini kellal 6 heli 
roomet|    Mängi benini kellal 7 heli 
roomet|    Mängi benini kõristit 1 sekund 
roomet|    Mängi benini kõristit 2 sekundit 
roomet|    Mängi benini kõristit 3 sekundit 
roomet|    Hoia klahve all 3 sekundit 
roomet|    Hoia klahve all 4 sekundit 
roomet|    Hoia klahve all 5 sekundit 
roomet|    Hoia klahve all 6 sekundit 
roomet|    Hoia klahve all 7 sekundit 
roomet|    Hoia klahve all 8 sekundit 
roomet|    Hoia klahve all 9 sekundit 
roomet|    Tee 1 häälitsus 
roomet|    Tee 2 häälitsust 
tarmo|    Sosista omas keeles 1 sõna 
tarmo|    Sosista omas keeles 2 sõna 
tarmo|    Sosista omas keeles 3 sõna 
tarmo|    Sosista omas keeles 4 sõna 
tarmo|    Sosista omas keeles 5 sõna 
tarmo|    Sosista omas keeles 6 sõna 
tarmo|    Sosista omas keeles 7 sõna 
tarmo|    Mängi benini kellal 1 heli 
tarmo|    Mängi benini kellal 2 heli 
tarmo|    Mängi benini kellal 3 heli 
tarmo|    Mängi benini kellal 4 heli 
tarmo|    Mängi benini kellal 5 heli 
tarmo|    Mängi benini kellal 6 heli 
tarmo|    Mängi benini kellal 7 heli 
tarmo|    Mängi flöödil 1 heli 
tarmo|    Mängi flöödil 2 heli 
tarmo|    Mängi flöödil 3 heli 
tarmo|    Mängi flöödil 4 heli 
tarmo|    Mängi flöödil 5 heli 
tarmo|    Mängi flöödil 6 heli 
tarmo|    Mängi flöödil 7 heli 
tarmo|    Mängi 2. kõneleva trummiga 1 heli 
tarmo|    Mängi 2. kõneleva trummiga 2 heli 
tarmo|    Mängi 2. kõneleva trummiga 3 heli 
tarmo|    Mängi 2. kõneleva trummiga 4 heli 
tarmo|    Mängi 2. kõneleva trummiga 5 heli 
